year,total,urbano,rural,lima_metropolitana,selva,resto_del_pais,sin_educacion,primaria,secundaria,superior
2000,,,,,,,,,,
2004,.71099114,.91499656,.43625885,.97100961,.48516524,.65832657,.23408344,.42951044,.87525183,.98829883
2005,.70095223,.92134738,.42897207,.9774363,.54207689,.65054619,.30641717,.43380734,.85414863,.98570484
2006,.71152037,.91992104,.44945011,.97769421,.52834648,.66499096,.33938545,.46186346,.85529375,.98523051
2007,.7221455,.92303407,.47945076,.97857344,.57962894,.68277204,.35767716,.48702446,.85861158,.98315465
2008,.76586699,.93723172,.51623815,.98841131,.70449263,.73131382,.45772749,.54883951,.87914574,.98577499
2009,.82470649,.94351608,.60964537,.98578084,.64317322,.80638254,.54835057,.63258308,.90677816,.98223764
2010,.83822262,.95013082,.63748252,.99005419,.63127404,.83222717,.61476552,.6595124,.91369158,.98895729
2011,.85022599,.95971787,.64375991,.99009269,.63083017,.84947181,.54878134,.67312241,.92589688,.98390883
2012,.86732286,.95710737,.69629985,.99172217,.72407615,.85757035,.57303721,.68981498,.93545908,.99010581
2013,.89059883,.97312111,.71325982,.99679655,.7303099,.88879579,.58310449,.74116027,.9415313,.99003822
2014,.89961356,.97083336,.7309292,.99039018,.7359491,.90319717,.63897377,.73365408,.94293594,.99005115
2015,.91619068,.97651273,.75002122,.9932552,.76324159,.92597872,.72988689,.77098465,.94633245,.99219841
2016,.92429608,.98191893,.76855254,.99489135,.77903819,.93629199,.71184278,.76508707,.96293288,.99327987
2017,.93560529,.98396099,.80031359,.99626315,.78150207,.95187503,.66840512,.79827851,.96075404,.99470538
2018,.93696952,.98548096,.79845923,.99532175,.83225673,.93933856,.76266408,.80887723,.95359421,.99341524
2019,.94370335,.98622876,.82358938,.99679792,.83626527,.94975567,.76486313,.80640507,.96471202,.9964596
